"1419209","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1442123","built","1914","1918","period","wwi","First World War","source names the period ""First World War""; years from the Whilom period registry, which is a navigation convention","","First World War","1.0.0"
"1445104","built","1914","1918","period","wwi","First World War","source names the period ""First World War""; years from the Whilom period registry, which is a navigation convention","","First World War","1.0.0"
"1445107","built","1914","1918","period","wwi","First World War","source names the period ""First World War""; years from the Whilom period registry, which is a navigation convention","","First World War","1.0.0"
"1445110","built","1914","1918","period","wwi","First World War","source names the period ""First World War""; years from the Whilom period registry, which is a navigation convention","","First World War","1.0.0"
"1445112","built","1914","1918","period","wwi","First World War","source names the period ""First World War""; years from the Whilom period registry, which is a navigation convention","","First World War","1.0.0"
"1463907","built","1701","1800","century","georgian","C18","source gives ""C18""; the 18th century is 1701–1800","","18th century","1.0.0"
"1002340","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1002881","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1003133","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1003468","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1003469","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1003597","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1003665","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1003666","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1003690","built","410","1065","period","early_medieval","Saxon","source names the period ""Saxon""; years from the Whilom period registry, which is a navigation convention","","Anglo-Saxon & Viking","1.0.0"
"1003779","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1004046","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004061","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004067","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1004070","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004072","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1004174","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004187","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004879","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1004884","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004885","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1004886","built","410","1065","period","early_medieval","Anglo-Saxon","source names the period ""Anglo-Saxon""; years from the Whilom period registry, which is a navigation convention","","Anglo-Saxon & Viking","1.0.0"
"1005198","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1005212","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1005216","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1005219","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1005222","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1005243","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1005777","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1005779","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1005780","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1007751","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1007751","built","1603","1713","period","stuart","Civil War","source names the period ""Civil War""; years from the Whilom period registry, which is a navigation convention","","Stuart","1.0.0"
"1007846","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1007988","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1007988","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1008016","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1008039","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1008226","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1008302","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1008397","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1008419","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1009884","built","1001","1100","century","early_medieval","11th century","source gives ""11th century""; the 11th century is 1001–1100","","11th century","1.0.0"
"1009884","built","1201","1300","century","medieval","13th century","source gives ""13th century""; the 13th century is 1201–1300","","13th century","1.0.0"
"1009963","built","1101","1200","century","norman","twelfth century","source gives ""twelfth century""; the 12th century is 1101–1200","","12th century","1.0.0"
"1009963","built","1301","1400","century","medieval","fourteenth century","source gives ""fourteenth century""; the 14th century is 1301–1400","","14th century","1.0.0"
"1009963","built","1501","1600","century","tudor","sixteenth century","source gives ""sixteenth century""; the 16th century is 1501–1600","","16th century","1.0.0"
"1010127","built","410","1065","period","early_medieval","Saxon","source names the period ""Saxon""; years from the Whilom period registry, which is a navigation convention","","Anglo-Saxon & Viking","1.0.0"
"1010127","built","1066","1153","period","norman","Norman","source names the period ""Norman""; years from the Whilom period registry, which is a navigation convention","","Norman","1.0.0"
"1010127","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1010627","built","1301","1400","century","medieval","fourteenth century","source gives ""fourteenth century""; the 14th century is 1301–1400","","14th century","1.0.0"
"1010629","built","1101","1200","century","norman","twelfth century","source gives ""twelfth century""; the 12th century is 1101–1200","","12th century","1.0.0"
"1010629","built","1301","1400","century","medieval","fourteenth century","source gives ""fourteenth century""; the 14th century is 1301–1400","","14th century","1.0.0"
"1010804","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1011212","built","1001","1100","century","early_medieval","11th century","source gives ""11th century""; the 11th century is 1001–1100","","11th century","1.0.0"
"1011365","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1011374","built","1101","1200","century","norman","C12","source gives ""C12""; the 12th century is 1101–1200","","12th century","1.0.0"
"1011374","built","1701","1800","century","georgian","C18","source gives ""C18""; the 18th century is 1701–1800","","18th century","1.0.0"
"1011374","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1011374","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1011377","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1011515","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1011518","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1011581","built","1101","1200","century","norman","12th-century","source gives ""12th-century""; the 12th century is 1101–1200","","12th century","1.0.0"
"1011624","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1011799","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1012004","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1012182","built","-800","42","period","iron_age","Iron-Age","source names the period ""Iron-Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1013087","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1013350","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1013438","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1013618","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1013625","built","410","1065","period","early_medieval","Anglo-Saxon","source names the period ""Anglo-Saxon""; years from the Whilom period registry, which is a navigation convention","","Anglo-Saxon & Viking","1.0.0"
"1013626","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1013628","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1013674","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1013704","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1013705","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1013706","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1013999","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1014001","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1014384","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1014395","built","1701","1800","century","georgian","18th century","source gives ""18th century""; the 18th century is 1701–1800","","18th century","1.0.0"
"1014621","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1014736","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1014764","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1014765","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1014766","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015409","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015410","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015417","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015418","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1015419","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015502","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1015504","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015540","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015542","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015612","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015613","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015630","built","1601","1700","century","stuart","17th century","source gives ""17th century""; the 17th century is 1601–1700","","17th century","1.0.0"
"1015725","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015920","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015992","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1015993","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016053","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1016260","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016323","built","1501","1600","century","tudor","16th century","source gives ""16th century""; the 16th century is 1501–1600","","16th century","1.0.0"
"1016347","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1016424","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016530","built","410","1065","period","early_medieval","Anglo-Saxon","source names the period ""Anglo-Saxon""; years from the Whilom period registry, which is a navigation convention","","Anglo-Saxon & Viking","1.0.0"
"1016859","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016932","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016933","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016944","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1016962","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017067","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017068","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017069","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017101","built","-2200","-801","period","bronze_age","Bronze Age","source names the period ""Bronze Age""; years from the Whilom period registry, which is a navigation convention","","Bronze Age","1.0.0"
"1017101","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1017421","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017467","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017555","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017560","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1017560","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017564","built","1601","1700","century","stuart","17th century","source gives ""17th century""; the 17th century is 1601–1700","","17th century","1.0.0"
"1017564","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017565","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017657","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017691","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1017693","built","-4000","-2201","period","neolithic","Neolithic","source names the period ""Neolithic""; years from the Whilom period registry, which is a navigation convention","","Neolithic","1.0.0"
"1017693","built","-2200","-801","period","bronze_age","Bronze Age","source names the period ""Bronze Age""; years from the Whilom period registry, which is a navigation convention","","Bronze Age","1.0.0"
"1017693","built","-800","42","period","iron_age","Iron Age","source names the period ""Iron Age""; years from the Whilom period registry, which is a navigation convention","","Iron Age","1.0.0"
"1017693","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017822","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017894","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1017922","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
