"1005210","built","1390","1399","decade","","1390s","1390-01-01T00:00:00Z","8","inception (P571)","Q8037764","Wikidata inception (P571) ""1390-01-01T00:00:00Z"" at decade precision; read as 1390–1399","1.0.0"
"1005210","event","1650","1650","exact_year","","1650","1650-01-01T00:00:00Z","9","significant event (P793) — slighting","Q8037764","Wikidata significant event (P793) — slighting ""1650-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1005210","event","1796","1796","exact_year","","1796","1796-02-19T00:00:00Z","11","significant event (P793) — conflagration","Q8037764","Wikidata significant event (P793) — conflagration ""1796-02-19T00:00:00Z"" at year precision or finer","1.0.0"
"1005226","built","1270","1270","exact_year","","1270","1270-01-01T00:00:00Z","9","inception (P571)","Q12060577","Wikidata inception (P571) ""1270-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1005472","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17642634","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1007724","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17650027","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1007843","built","1101","1200","century","","12th century","1101-01-01T00:00:00Z","7","inception (P571)","Q1656610","Wikidata inception (P571) ""1101-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1007843","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q1656610","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1008382","built","1302","1302","exact_year","","1302","1302-01-01T00:00:00Z","9","inception (P571)","Q17526147","Wikidata inception (P571) ""1302-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1008761","event","1101","1200","century","","12th century","1160-01-01T00:00:00Z","7","significant event (P793) — slighting","Q17645541","Wikidata significant event (P793) — slighting ""1160-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1009848","built","1701","1800","century","","18th century","1701-01-01T00:00:00Z","7","inception (P571)","Q17647211","Wikidata inception (P571) ""1701-01-01T00:00:00Z"" at century precision; read as the 18th century (1701–1800), not as a year","1.0.0"
"1009849","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17647218","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1009963","built","1385","1385","exact_year","","1385","1385-01-01T00:00:00Z","9","inception (P571)","Q4185868","Wikidata inception (P571) ""1385-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1009963","built","1988","1988","exact_year","","1988","1988-01-01T00:00:00Z","9","inception (P571)","Q4185868","Wikidata inception (P571) ""1988-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1010079","built","1701","1800","century","","18th century","1701-01-01T00:00:00Z","7","inception (P571)","Q17648912","Wikidata inception (P571) ""1701-01-01T00:00:00Z"" at century precision; read as the 18th century (1701–1800), not as a year","1.0.0"
"1010081","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17648929","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1010083","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17648943","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1010127","built","1070","1070","exact_year","","1070","1070-01-01T00:00:00Z","9","inception (P571)","Q1949590","Wikidata inception (P571) ""1070-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1010347","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17650844","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1010533","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17647385","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1010627","built","1071","1071","exact_year","","1071","1071-01-01T00:00:00Z","9","inception (P571)","Q6645746","Wikidata inception (P571) ""1071-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1010629","built","1190","1190","exact_year","","1190","1190-01-01T00:00:00Z","9","inception (P571)","Q2705370","Wikidata inception (P571) ""1190-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011212","built","1086","1086","exact_year","","1086","1086-01-01T00:00:00Z","9","inception (P571)","Q7535837","Wikidata inception (P571) ""1086-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011374","built","1130","1130","exact_year","","1130","1130-01-01T00:00:00Z","9","inception (P571)","Q1963850","Wikidata inception (P571) ""1130-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011518","built","1378","1378","exact_year","","1378","1378-01-01T00:00:00Z","9","inception (P571)","Q5055225","Wikidata inception (P571) ""1378-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011518","event","1272","1272","exact_year","","1272","1272-01-01T00:00:00Z","9","significant event (P793) — licence to crenellate","Q5055225","Wikidata significant event (P793) — licence to crenellate ""1272-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011799","built","1068","1068","exact_year","","1068","1068-01-01T00:00:00Z","9","inception (P571)","Q80637","Wikidata inception (P571) ""1068-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011848","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17674555","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1011897","lost","1536","1536","exact_year","","1536","1536-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q7069768","Wikidata dissolved, abolished or demolished (P576) ""1536-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1011966","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17676108","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1012065","built","1132","1132","exact_year","","1132","1132-03-12T00:00:00Z","11","inception (P571)","Q1247496","Wikidata inception (P571) ""1132-03-12T00:00:00Z"" at year precision or finer","1.0.0"
"1012065","lost","1538","1538","exact_year","","1538","1538-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q1247496","Wikidata dissolved, abolished or demolished (P576) ""1538-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1012182","built","1101","1200","century","","12th century","1101-01-01T00:00:00Z","7","inception (P571)","Q6772911","Wikidata inception (P571) ""1101-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1012182","lost","1540","1540","exact_year","","1540","1540-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q6772911","Wikidata dissolved, abolished or demolished (P576) ""1540-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1012589","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17676109","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1012590","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17676118","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
